"","first_name","last_name","pos","overall_ppg","overall_apg","overall_rpg","overall_mpg","points","totReb","assists","games","games_played","games_not_played","games_started","games_start_pct","starter","likely_starter"
"78","John","Collins","SF",16.6235294117647,1.22352941176471,7.72941176470588,29.7058823529412,13,7,0,85,85,0,85,1,1,1
"79","Solomon","Hill","SF",3.77659574468085,0.861702127659574,2.6063829787234,18.3723404255319,6,3,0,94,94,0,19,0.202127659574468,1,0
"80","Solomon","Hill","SF",3.77659574468085,0.861702127659574,2.6063829787234,18.3723404255319,0,2,0,94,94,0,19,0.202127659574468,1,0
"81","Solomon","Hill","SF",3.77659574468085,0.861702127659574,2.6063829787234,18.3723404255319,1,1,0,94,94,0,19,0.202127659574468,1,0
"82","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,10,4,2,92,91,1,60,0.659340659340659,1,1
"83","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,0,2,1,92,91,1,60,0.659340659340659,1,1
"84","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,17,11,4,92,91,1,60,0.659340659340659,1,1
"85","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,27,7,3,92,91,1,60,0.659340659340659,1,1
"86","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,13,2,1,92,91,1,60,0.659340659340659,1,1
"87","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,8,2,1,92,91,1,60,0.659340659340659,1,1
"88","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,11,4,7,92,91,1,60,0.659340659340659,1,1
"89","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,15,6,7,92,91,1,60,0.659340659340659,1,1
"90","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,8,3,7,92,91,1,60,0.659340659340659,1,1
"91","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,5,3,4,92,91,1,60,0.659340659340659,1,1
